filerange 1500 2499
rangestart 1500 2499

1500	Scout
1501	Scouts Squadron
1502	Interceptor
1503	Anti-Fighter Squadron
1504	Attack Bomber
1505	Anti-Capital Ship Squadron
1506	Gunship
1507	Corvette Class - Anti-Fighter
1508	Pulsar Gunship
1509	Corvette Class - Anti-Corvette
1510	Minelayer Corvette
1511	Deploys and Clears Mines
1512	Gun Platform
1513	Static Anti-Fighter Weapon Platform
1514	Ion Cannon Platform
1515	Static Anti-Frigate Weapon Platform
1518	Flak Frigate
1519	Frigate Class - Anti-Fighter
1520	Ion Cannon Frigate
1521	Frigate Class - Anti-Capital Ship
1522	Torpedo Frigate
1523	Frigate Class - Anti-Corvette
1524	Support Frigate
1525	Fleet Support
1526	Defence Field Frigate
1527	Fleet Defense
1528	Marine Frigate
1529	Boarding vessel
1530	Destroyer
1531	Capital Ship - Anti-Frigate
1532	Resource Collector
1533 	Mineral Excavation
1534	Mobile Refinery
1535	Remote Ore Processing
1536	Pride of Hiigara
1537	Mothership
1538	Battlecruiser
1539	Super Capital Ship
1540	Dreadnaught
1541	Gatekeeper of Sajuuk
1542	Carrier
1543	Ship Production
1544	Shipyard
1545	Ship Production
1546	Probe
1547	Single-burn Reconnaissance Unit
1548	Proximity Sensor
1549	Detects Cloaked Ships, Single-burn
1550	Sensor Distortion Probe
1551	Sensors Distortion Device, Single-burn
1552	Dreadnaught Berth
1553	Dreadnaught Berth
1556	Mine
1557	Static Mine
1558	Torpedo
1559	Tracking High-Explosive Torpedo
1560	Elite Interceptor
1561	Anti-Fighter
1562	Elite Bomber
1563	Anti-Capital Ship
1564	Elite Torpedo Frigate
1565	Anti-Corvette, Anti Frigate
1566	Captain Soban
1567	Captain Soban's Marine Frigate. Armed Boarding Vessel.
1568	1568 xMISSINGx		
1569	Specially Modified Hyperspace Inhibitor
1570	Elite Pulsar Gunship
1571	Target Drone
1572	Shipyard Nabaal
1573	Hiigaran Ship Production
1575	MOTHERSHIP
1576	SHIPYARD
1577	Hyperspace Core
1578	Enables long-jump Hyperspace
1579	Long Range Torpedo
1580	Big Bang

1581	Shield Capacity
1582	External Armor Capacity
1583	Ship Level
1584	Music Player Function Key
1585	Set the Key Turning On/Off HomeworldRM Music Player
1586	Cargo
1587	Fleet Cargo List
1588	Game Date
1589	Player's Cash
1590	Fleet Population
1591	Military Level
1592	Trade Level
1593	Sweeper Array
1594	Robust Weapon System
1595	Annihilator array
1596	Long-range Heavy Anti-capital ship Weapon System
1597	Cruise Missile
1598	Single-burn offensive weapon

1600	Scout
1601	Reconnaissance unit
1602	Assault Craft
1603	Anti-Fighter
1604	Crusader
1605	Advanced Anti-Fighter
1606	Lance Fighter
1607	Fighter Class - Anti-Corvette
1608	Bomber
1609	Fighter Class - Anti-Capital Ship
1610	Laser Corvette
1611	Corvette Class - Anti-Capital Ship
1612	Missile Corvette
1613	Corvette Class - Anti-Corvette
1614	Minelayer Corvette
1615	Corvette Class - Deploys Mines
1616	Assault Command Corvette
1617	Corvette Class - Command Ship, Improves Weapon System of Nearby Ships
1618	Assault Frigate
1619	Frigate Class - Anti-Fighter
1620	Infiltrator Frigate
1621	Frigate Class - Boarding Vessel
1622	Heavy Missile Frigate
1623	Frigate Class - Anti-Capital Ship
1624	Transport Frigate
1625	Frigate Class - Fleet Support
1626	Vaygr Flagship
1627	Flagship
1628	Shipyard
1629	Ship Production and Repair
1630	Carrier
1631	Ship Production
1632	Battlecruiser
1633	Super Capital Ship
1634	Destroyer
1635	Capital Ship - Anti-Frigate
1636	Dreadnaught
1637	Long Range Capital Ship Killer
1638	Resource Collector
1639 	Mineral Excavation
1640	Mobile Refinery
1641	Remote Ore Processing
1642	Probe
1643	Single-burn Reconnaissance Unit
1644	Sensor Distortion Probe
1645	Single-burn Sensors Distortion Device
1646	Proximity Detector
1647	Single-burn Cloak Detector Device
1648	Mine
1649	Static Mine
1650	Heavy Missile
1651	Heavy Missile
1652	Small Missile
1653	Tracking Infared Signature
1654	Infiltrator Pod
1655	Infiltrator Pod
1656	Gun Platform
1657	Anti-Fighter Weapon Platform
1658	Clustered Missile Platform
1659	Multi-functional Weapon Platform
1660	Hyperspace Gate
1661	Hyperspace gate
1662	Communications Rig
1663	Listening Device
1664	Low Orbit Atmosphere Deprivation Weapon
1665	Makaan
1666	Makaan's Flagship
1667	Communications Station
1668	Command Station
1669	Command Station Thaddis Sabbah
