filerange 40751 40900
rangestart 40751 40900

40751	扫描无异常
40752	节点已确认, 这儿什么都没有
40753	没有收到任何信号
40754	里轧避难所
40755	我们已经抵达避难所，开始寻找并帮助我们的姊妹舰 她已经陪同主力舰队在该星系巡逻得够久了
40756	我们的姊妹舰会得知我们抵达的讯号 在等待她联系我们期间，先进行初步的采矿作业
40757	已经超过预计时间的一倍，目前仍无任何联系，原地待命
40758	主要频率上没有信号，但我们的监听器确认附近地区并无紧急信号的迹象 我们的姊妹舰可能又在守株待兔了，以前也总是这样
40759	姊妹舰的航行计划已输入传感器 派遣单位前往已知的联络点，获取友军讯号
40760	有了，正对信号进行分析
40761	似乎是一个信标，读数比较微弱，但是频率匹配，是我们的
40762	我们已经将其位置锁定在这个地区
40763	派遣单位调查该信号源
40764	 ... ...
40765	 ... ...
40766	已成功获取友军ID，舰船数据匹配，他们来自于我们的姊妹舰队 不过我们的通讯受到了明显的干扰，无法建立联系
40767	我们尝试直接取得联络，将云母移动到联络范围内，然后重新尝试建立联系
40768	 ... ...
40769	 ... ... 
40770	似乎仍然无法建立联系...但我们从公共频率收到了一条讯息:
40771	该讯息表明他们受到了一场电子风暴的袭击，联络设备全部因此瘫痪 他们受命留在此地维修，其余舰队则继续前进
40772	他们还说包括姊妹舰在内的主力舰队目前状态良好 他们似乎盯上了一块肥肉，正等待我们会合
40773	坐标信息已经输入传感器 看来他们就在这片残骸区等待 命令舰队前往此处，准备与主力舰队会合
40774	又收到一条讯息 友军确认修理工作正有序展开 他们预计很快就能加入我们
40775	星云女神啊，求您宽恕...
40776	已确认我们抵达了目标地点，但是呃...我们没有看到姊妹舰及其舰队的任何迹象...但是监听器显示他们就在我们附近...!
40777	...马上开始扫描，看看是否...
40778	检测到敌对信号...有人在打我们的主意! 距离很近，为数不少!
40779	...已确认! 保护星云母舰!
40780	敌人已消灭 局势得到了控制 原地待命
40781	...我们的姊妹舰已经被摧毁了 在刚刚交战期间对周围残骸的扫描显示出86.2%的匹配度 同时还辨别出主力舰队的特征
40782	悲痛和疑惑是免不了的，但目前还不是时候 我们必须对舰上的生者负责...今时更甚往日
40783	我们应该回去联络之前发现的那些掉队的友军 且不说他们目前面临的安全问题，主要是他们的日志和数据库可能有助于我们排查出这里究竟发生了什么 派遣单位通知他们，并护送他们与母舰会合
40784	我们的监听器仍能在该地区收到来自我们姊妹舰的强烈信号 一些有用的东西可能会在爆炸中幸存
40785	建议在我们确定维修方案期间对这片残骸进行探索，部分较大的残骸上可能有些能帮到我们的东西，我们的打捞小组已经上路了
40786	这里是搜索队，我们在残骸中找到了原属于姊妹舰的主要模块舱段之一 虽然有一定的损毁，但基本完好 工程部门应该能够将之移植到母舰上
40787	新的建造项目可用
40788	这里是搜索队，我们找到了一个外壳完好的燃料座舱，从ID来看应该属于我们的主力舰队 它似乎发生了故障因此飘荡在这里 这些残骸可能保护了它没有被探测到
40789	这艘船已经无法修复了，但我们在内部发现了不少细胞 正在重新接驳港区的电力并转移人员激活其远程跟随机能
